"nodeHash";"nodeType";"nodeLength"
"46903351c2bff4a91140255ffb49aa82c22f4664cd3711b1cf5f95e3fe469e32";"a";"33"
"f59000066d6c041e5cac6026519fd00ad18a9e1e1900dee523771163825a74c3";"s";"15"
"efb0936bb7da45dee5cb964bcde87c951ee3b341627a0ebbc93cdef500ae1007";"s";"48"
"eb87e5929c910eb9c305358178cbf842cd63d471a6fd04f41fe3eaa9250fb3e9";"s";"18"
"8a2f8e75df39bcbe0abc94cd8397ff4b3380339726de5c2f4c1a6bfdc2a20785";"s";"44"
"c42ef70d4ccff52449dbcd40857b1bc891ace698078ea4fbe574dbd414acc36b";"s";"47"
"f493335c194fc358e48b6cfbe37ed5b90d83cec35589423ab63711733d6cc623";"s";"46"
"952be03bdc400a16051e30054063df794d20f22276beb6682950c0c17f33c6bc";"s";"46"
"8de3e2a4fe17bc2444afaba6e781b592abcea26906c12e34b777e60e17e58ef7";"s";"38"
"e33c66e0055975178dd9020d57297434c18988f747fb25882255f31095464b23";"a";"34"
"24be0679fcfc254bdf7e26afe1cce7a6c003bf870af683ca06b6ff1fa00820e0";"a";"34"
"8baf8381ed7d7ffcfd9d76740320e72fb6f396f40492db96d0884546396b116c";"a";"34"
"6b960c25662942d7533a3566e9f28dd9ce3d6816048fd74fc00e4f458006e38c";"a";"34"
"2eb102213e1cb0bf80ee8f94e82400ac90476145698fdc811d8b288af6e04ccf";"a";"34"
"9f1da6299c9b3ac6eed544a99f4559a25c03487d670bd567b3919a5ad05cc5b8";"a";"34"
"da5f32ef2b0f7672929a65efed156935800965ace27e9f520d2ad6054d2d6598";"a";"34"
"b3d7dff1b3c5ecec436bd1ceaadab4d34aacf99d96c8195a3a3e2272bb00838d";"a";"34"
"a8aad088f122617237497e6346ad9eb8f0e4cfb0ce8c93f49180ce397e81f0a9";"a";"34"
"51272f18e7412b9c3d93ea0a5f58989f81c2add7c699a322b339a5114e8918a7";"a";"40"
